Ad Media,New,Reapply,Attending Outside School,Attempting Contact,Interview,Recruiting,Pending Investigations,Online Course,Awaiting Permit,Hireright Requested,Rehire Submitted,Ready For Processing,Processing,Processing Complete,Attending School,Attending Academy,Left Sch/aca,Left Academy,Dl170 Testing,Graduated Sch/aca,Failed Sch/aca,Compliance,Driver Reactivation,No Show,Left Orientation,Hold,Ready For Audit,Audit,Audit Deficiencies,Ok To Code,Paf Entered,Hired,Not Qualified,Not Interested,No Response,Duplicate App,Xfer Allowed,Unqualified Da,Do Not Contact,Security Closed,Upload,Total
LACED_DR_RecentGrad_LinkUp_CareerHorizon_Intelliapp,1,0,0,3,7,6,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,17,0,0,0,0,0,0,50
LACED_DR_RecentGrad_LinkUp_CareerHorizon_SwiftLeadForm,2,0,1,8,32,7,4,4,6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,23,109,1,0,0,1,0,0,216
LACED_DR_RecentGrad_Monster_CareerHorizon_Intelliapp,1,0,0,3,3,2,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,7,0,0,0,0,0,0,31
LACED_DR_RecentGrad_Monster_CareerHorizon_SwiftLeadForm,7,1,0,20,25,9,1,3,9,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,15,45,0,0,0,1,0,0,157
LACED_DR_RecentGrad_RhinoLabs_CareerHorizon_SwiftLeadForm,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,0,0,0,0,0,14
LACED_DR_RecentGrad_SimplyHired_CareerHorizon_Intelliapp,0,0,0,1,4,0,3,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,4,0,0,0,0,0,0,23
LACED_DR_RecentGrad_SimplyHired_CareerHorizon_SwiftLeadForm,6,3,2,3,22,4,5,0,0,0,2,1,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,34,17,23,2,0,0,0,0,0,130
LACED_DR_RecentGrad_SnagAJob_CareerHorizon_Intelliapp,6,0,0,5,14,8,1,8,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,28,0,0,0,0,0,0,93
LACED_DR_RecentGrad_SnagAJob_CareerHorizon_SwiftLeadForm,20,2,1,33,66,12,1,14,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,40,44,194,0,0,0,0,0,0,442
LACED_DR_RecentGrad_swifttrans.com_LeadForm,4,2,0,2,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,2,0,0,18
LACED_DR_RecentGrad_TruckDrivingJobs_CareerHorizon_Intelliapp,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,4
LACED_DR_RecentGrad_TruckDrivingJobs_CareerHorizon_SwiftLeadForm,2,2,9,3,10,4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,36,18,30,0,0,0,1,0,0,123
LACED_DR_RecentGrad_WrightMediaGroup_CareerHorizon_Intelliapp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,3
LACED_DR_RecentGrad_WrightMediaGroup_CareerHorizon_SwiftLeadForm,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1,0,0,0,0,0,9
LACED_DR_SteelhousePilot_SwiftLeadForm,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,0,10
LACED_DR_Students_CDLCareerNow_CareerHorizon_SwiftLeadForm,15,4,2,25,47,9,7,6,6,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,47,192,0,0,0,0,0,0,435
LACED_DR_Students_EmploymentGuide_SwiftLeadForm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
LACED_DR_Students_EmploymentNetwork_Intelliapp,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4
LACED_DR_Students_FindATruckerJob_Intelliapp,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
LACED_DR_Students_FindATruckerJob_SwiftLeadForm,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5
LACED_DR_Students_Google_Intelliapp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
LACED_DR_Students_HiringDriversNow_SwiftLeadForm,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
LACED_DR_Students_Monster_Intelliapp,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
LACED_DR_Students_Monster_SwiftLeadForm,3,1,3,11,42,9,3,19,9,0,0,0,1,2,1,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,56,68,157,8,0,0,0,0,0,405
LACED_DR_Students_Snagajob_SwiftLeadForm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,3
LACED_DR_Students_YahooBing_Intelliapp,1,1,1,6,30,22,13,46,19,0,0,1,4,1,0,2,1,0,0,0,0,1,0,2,0,1,0,0,0,1,0,5,67,20,68,1,0,0,0,0,0,314
LACED_DR_Students_YahooBing_SwiftLeadForm,11,3,4,37,125,31,19,56,21,0,0,2,9,4,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,7,214,71,347,12,0,0,4,0,0,983
LACED_DR_Student_AllTruckJobs_CareerHorizon_Intelliapp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
LACED_DR_Student_AllTruckJobs_CareerHorizon_SwiftLeadForm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
LACED_DR_Student_CareersInTrucks_SwiftLeadForm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
LACED_DR_Student_CDLCareerNow_CareerHorizon_Intelliapp,0,0,1,0,1,3,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,3,5,0,0,0,0,0,0,22
LACED_DR_Student_CDLCareerNow_CareerHorizon_SwiftLeadForm,0,4,5,20,37,8,6,8,4,0,1,0,4,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,54,43,138,0,0,0,0,0,0,339
LACED_DR_Student_CDLCareerNow_TruckWarrior_CareerHorizon_SwiftLeadForm,5,1,0,19,39,1,0,10,5,0,0,1,0,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,31,122,0,0,0,2,0,0,258
LACED_DR_Student_CDLJobs_CareerHorizon_Email_Intelliapp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
LACED_DR_Student_CDLJobs_CareerHorizon_Email_SwiftLeadForm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
LACED_DR_Student_Craigslist_CareerHorizon_Intelliapp,9,1,2,12,25,24,10,30,14,0,0,0,2,3,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,33,25,59,0,0,0,0,0,0,252
LACED_DR_Student_Craigslist_CareerHorizon_SwiftLeadForm,40,7,4,81,178,35,14,40,19,0,0,1,1,4,0,2,0,0,0,0,0,0,0,4,2,1,0,0,0,0,0,0,126,134,501,10,0,0,2,0,0,1206
LACED_DR_Student_EmploymentNetwork_CareerHorizon_lp,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,4
LACED_DR_Student_Facebook_2_Intelliapp,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
LACED_DR_Student_Facebook_2_SwiftLeadForm,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
LACED_DR_Student_Facebook_4_SwiftLeadForm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4
LACED_DR_Student_FindATruckerJob_CareerHorizon_Intelliapp,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,10
LACED_DR_Student_FindATruckerJob_CareerHorizon_SwiftLeadForm,1,1,0,2,9,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,13,0,0,0,0,0,0,40
LACED_DR_Student_Google_CareerHorizon_Intelliapp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
LACED_DR_Student_Google_CareerHorizon_SwiftLeadForm,110,33,22,265,709,126,67,195,145,2,6,9,28,37,2,8,8,2,0,0,3,3,0,16,4,3,0,0,0,3,0,37,1091,430,1691,41,0,3,10,0,0,5109
LACED_DR_Student_HiringDriversNow_CareerHorizon_Intelliapp,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
LACED_DR_Student_Indeed_CareerHorizon_Intelliapp,7,1,0,5,20,12,1,20,8,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,19,18,52,0,0,0,0,0,0,169
LACED_DR_Student_Indeed_CareerHorizon_SwiftLeadForm,40,2,1,79,166,33,2,44,27,0,1,1,2,5,0,2,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,1,148,123,556,6,0,0,1,0,0,1245
LACED_DR_Student_Indeed_Intelliapp,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
LACED_DR_Student_Jobs2Careers_CareerHorizon_Intelliapp,1,0,1,0,15,8,1,9,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,11,35,0,0,0,0,0,0,96
LACED_DR_Student_Jobs2Careers_CareerHorizon_SwiftLeadForm,4,1,1,9,75,13,4,11,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,57,59,261,0,0,0,0,0,0,504
LACED_DR_Student_JobsInTrucks_CareerHorizon_Email_Intelliapp,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
LACED_DR_Student_JobsInTrucks_CareerHorizon_Email_SwiftLeadForm,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
LACED_DR_Student_JobsInTrucks_CareerHorizon_Intelliapp,0,0,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,0,0,12
LACED_DR_Student_JobsInTrucks_CareerHorizon_SwiftLeadForm,3,0,0,2,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,11,0,0,0,0,0,0,35
LACED_DR_Student_LACED_Emailer_PhoenixCampus_SwiftLeadForm,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
LACED_DR_Student_LinkUp_CareerHorizon_SwiftLeadForm,3,0,1,3,11,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,21,13,50,0,0,0,0,0,0,107
LACED_DR_Student_LinkUp_CareerHorizon_SwiftLeadForm_Intelliapp,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,8,0,0,0,0,0,0,18
LACED_DR_Student_RandallReilly_CareersInGear_CareerHorizon_SwiftLeadForm,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3
LACED_DR_Student_RandallReilly_HiringTruckDrivers_CareerHorizon_SwiftLeadForm,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
LACED_DR_Student_RandallReilly_mobileBestDriverJobs_CareerHorizon_Intelliapp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,3
LACED_DR_Student_RandallReilly_mobileBestDriverJobs_CareerHorizon_SwiftLeadForm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,4
LACED_DR_Student_RandallReilly_mobileBigRigJobs_CareerHorizon_SwiftLeadForm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
LACED_DR_Student_RandallReilly_mobileBigTruckDrivingJobs_CareerHorizon_Intelliapp,0,0,0,1,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,10
LACED_DR_Student_RandallReilly_mobileBigTruckDrivingJobs_CareerHorizon_Intelliapp 28680 LACED Lead L,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
LACED_DR_Student_RandallReilly_mobileBigTruckDrivingJobs_CareerHorizon_SwiftLeadForm,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,8
LACED_DR_Student_RandallReilly_mobileDriverRecruiting_CareerHorizon_Intelliapp,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
LACED_DR_Student_RandallReilly_mobileDriverRecruiting_CareerHorizon_SwiftLeadForm,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
LACED_DR_Student_RandallReilly_mobileHiringTruckDrivers_CareerHorizon_Intelliapp,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
LACED_DR_Student_RandallReilly_mobileHiringTruckDrivers_CareerHorizon_SwiftLeadForm,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
LACED_DR_Student_RandallReilly_mobileJobsForTruckers_CareerHorizon_SwiftLeadForm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
LACED_DR_Student_RhinoLabs_CareerHorizon_Intelliapp,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3
LACED_DR_Student_RhinoLabs_CareerHorizon_SwiftLeadForm,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,18,0,0,0,0,0,0,34
LACED_DR_Student_SimplyHiredStudent_Intelliapp,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,8,2,6,0,0,1,0,0,0,21
LACED_DR_Student_SimplyHiredStudent_SwiftLeadForm,2,0,0,2,7,2,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,30,16,61,0,0,1,2,0,0,129
LACED_DR_Student_SimplyHired_CareerHorizon_Intelliapp,0,0,0,0,2,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,18
LACED_DR_Student_SimplyHired_CareerHorizon_SwiftLeadForm,10,3,0,7,20,4,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,23,60,1,0,0,0,0,0,156
LACED_DR_Student_SnagAJob_CareerHorizon_Intelliapp,2,0,1,10,18,13,3,13,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,20,42,0,0,0,0,0,0,138
LACED_DR_Student_SnagAJob_CareerHorizon_SwiftLeadForm,8,1,3,39,53,18,3,16,6,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,63,243,3,0,0,1,0,0,503
LACED_DR_Student_swifttrans.com_LeadForm,11,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,2,0,0,36
LACED_DR_Student_TopUSAJobs_CareerHorizon_Intelliapp,2,0,2,3,9,5,1,6,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,23,0,0,0,0,0,0,71
LACED_DR_Student_TopUSAJobs_CareerHorizon_SwiftLeadForm,8,0,2,17,51,8,1,7,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,31,145,0,0,0,0,0,0,321
LACED_DR_Student_TruckDrivingJobs_CareerHorizon_Intelliapp,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,7
LACED_DR_Student_TruckDrivingJobs_CareerHorizon_SwiftLeadForm,3,8,13,16,21,12,1,3,2,0,1,0,1,0,0,0,1,7,0,0,0,0,0,0,1,0,0,0,0,0,0,3,43,53,79,2,0,0,1,0,0,271
LACED_DR_Student_ZipRecruiter_CareerHorizon_Intelliapp,1,0,1,5,10,9,7,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,26,7,29,0,0,0,0,0,0,106
LACED_DR_Student_ZipRecruiter_CareerHorizon_SwiftLeadForm,11,1,1,40,90,21,8,18,10,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,2,164,66,235,3,0,0,0,0,0,676
LACED_DR_Student_ZipRecruiter_Intelliapp,0,0,0,0,1,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,6,0,0,0,0,0,0,18
LACED_DR_Student_ZipRecruiter_SwiftLeadForm,3,0,0,4,13,3,0,3,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,18,7,57,0,0,0,0,0,0,114
LACED_DR_swifttrans.com_LeteadForm,0,0,2,0,6,3,0,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,4,14,0,0,0,0,0,0,46
ntts_48511,0,0,28,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,32
pulse_app,0,1,2,1,3,19,10,15,4,0,3,2,9,6,1,2,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,14,26,17,16,0,0,1,0,0,0,160
pulse_invite,0,0,0,1,2,3,2,2,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,7,0,0,0,0,0,0,27
pulse_sig,0,0,0,0,0,1,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,12
sterling,0,1,0,0,12,35,7,0,0,0,1,2,12,5,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,12,21,7,1,0,0,1,0,0,0,129
swifttrans,5,5,54,19,120,143,61,121,83,6,20,19,76,43,4,11,6,3,0,0,3,13,0,30,14,9,1,2,0,3,2,107,334,203,221,1,0,5,6,1,0,1754
tda,0,0,0,0,8,14,0,4,1,0,0,0,1,1,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,38
TruckDrivingJobs.com,0,1,0,6,13,10,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,17,19,0,0,0,0,0,0,90
TruckJobSeekers,0,2,2,5,5,3,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,7,14,32,0,0,3,12,0,0,92
Grand Totals:,529,205,349,1392,3931,1590,682,1613,1049,44,92,131,533,408,36,121,45,27,0,0,12,74,0,232,71,44,2,10,0,31,6,696,5080,4036,9806,188,0,42,101,2,0,33210
